gene_name,gene_type
GAR1,protein_coding
FRG1,protein_coding
CLCN3,protein_coding
AADAT,protein_coding
GALNT7,protein_coding
DHX15,protein_coding
SOD3,protein_coding
SEPSECS,protein_coding
TRIM2,protein_coding
SLC2A9,protein_coding
FBXW7,protein_coding
NEIL3,protein_coding
TBC1D19,protein_coding
NSD2,protein_coding
SH3D19,protein_coding
STIM2,protein_coding
NKX3-2,protein_coding
MFSD10,protein_coding
GLRB,protein_coding
BST1,protein_coding
RAPGEF2,protein_coding
HGFAC,protein_coding
SNX25,protein_coding
LRP2BP,protein_coding
UFSP2,protein_coding
KLF3,protein_coding
KLHL5,protein_coding
FAM149A,protein_coding
NCAPG,protein_coding
UGDH,protein_coding
PPARGC1A,protein_coding
DDX25,protein_coding
CRYAB,protein_coding
HTATIP2,protein_coding
CTSC,protein_coding
CCDC34,protein_coding
ZBTB16,protein_coding
ELP4,protein_coding
ZPR1,protein_coding
MTCH2,protein_coding
FNBP4,protein_coding
TECTA,protein_coding
SC5D,protein_coding
JHY,protein_coding
B3GAT1,protein_coding
HSPA8,protein_coding
VWA5A,protein_coding
DNAJC4,protein_coding
SIAE,protein_coding
SNX15,protein_coding
LPXN,protein_coding
DTX4,protein_coding
ATG2A,protein_coding
EHD1,protein_coding
OSBP,protein_coding
UNC93B1,protein_coding
PUS3,protein_coding
DCPS,protein_coding
KMT5B,protein_coding
FOXRED1,protein_coding
PPP6R3,protein_coding
NRXN2,protein_coding
MS4A6A,protein_coding
MS4A4A,protein_coding
ST3GAL4,protein_coding
CPT1A,protein_coding
CCND1,protein_coding
CCDC86,protein_coding
PRPF19,protein_coding
TMEM109,protein_coding
CCKBR,protein_coding
HPX,protein_coding
TRIM3,protein_coding
CHORDC1,protein_coding
FOLR1,protein_coding
ANAPC15,protein_coding
PANX1,protein_coding
ARHGEF17,protein_coding
CEP164,protein_coding
RNF141,protein_coding
CEP126,protein_coding
EIF4G2,protein_coding
IL10RA,protein_coding
GALNT18,protein_coding
BIRC2,protein_coding
UBE4A,protein_coding
DDX6,protein_coding
UPK2,protein_coding
CBL,protein_coding
NECTIN1,protein_coding
HIPK3,protein_coding
KIAA1549L,protein_coding
FBXO3,protein_coding
PDHX,protein_coding
SLC1A2,protein_coding
COMMD9,protein_coding
SLC15A3,protein_coding
CD5,protein_coding
ACCS,protein_coding
MDK,protein_coding
AMBRA1,protein_coding
MADD,protein_coding
PTPMT1,protein_coding
NAA40,protein_coding
CARS1,protein_coding
SLC22A18,protein_coding
CD81,protein_coding
SLC35F2,protein_coding
ELMOD1,protein_coding
SOX6,protein_coding
C11orf58,protein_coding
PITPNM1,protein_coding
RPS13,protein_coding
AIP,protein_coding
NUP98,protein_coding
NDUFS8,protein_coding
TCIRG1,protein_coding
CHKA,protein_coding
EXPH5,protein_coding
HPS5,protein_coding
GTF2H1,protein_coding
PTPN5,protein_coding
VWF,protein_coding
PSMD9,protein_coding
P3H3,protein_coding
PPFIBP1,protein_coding
PRPF40B,protein_coding
CD69,protein_coding
PRDM4,protein_coding
CLEC2B,protein_coding
COQ5,protein_coding
SELPLG,protein_coding
CORO1C,protein_coding
ASIC1,protein_coding
CAPRIN2,protein_coding
TSPAN11,protein_coding
KCTD10,protein_coding
SLC11A2,protein_coding
MLEC,protein_coding
MVK,protein_coding
CSRNP2,protein_coding
CAMKK2,protein_coding
BIN2,protein_coding
IL23A,protein_coding
ATP5F1B,protein_coding
PTGES3,protein_coding
BCL7A,protein_coding
RSRC2,protein_coding
CYP27B1,protein_coding
LIN7A,protein_coding
KRT18,protein_coding
ACSS3,protein_coding
TNS2,protein_coding
GLI1,protein_coding
PPM1H,protein_coding
METAP2,protein_coding
LTA4H,protein_coding
ELK3,protein_coding
SLC6A12,protein_coding
WNT5B,protein_coding
MAGOHB,protein_coding
TRPV4,protein_coding
ITFG2,protein_coding
FOXM1,protein_coding
PRR4,protein_coding
PRMT8,protein_coding
PARP11,protein_coding
ARPC3,protein_coding
GPN3,protein_coding
VPS29,protein_coding
RAD51AP1,protein_coding
CUX2,protein_coding
SH2B3,protein_coding
AKAP3,protein_coding
MANSC1,protein_coding
KCNA1,protein_coding
DUSP16,protein_coding
CREBL2,protein_coding
ACAD10,protein_coding
ALDH2,protein_coding
CDKN1B,protein_coding
NAA25,protein_coding
LTBR,protein_coding
OGFOD2,protein_coding
CDK2AP1,protein_coding
OAS3,protein_coding
OAS2,protein_coding
MGP,protein_coding
RASAL1,protein_coding
ARHGDIB,protein_coding
GTF2H3,protein_coding
EIF2B1,protein_coding
DDX55,protein_coding
SLC38A1,protein_coding
RERGL,protein_coding
ENDOU,protein_coding
SPRING1,protein_coding
VDR,protein_coding
FZD10,protein_coding
RFC5,protein_coding
STX2,protein_coding
ADGRD1,protein_coding
COPZ1,protein_coding
CAND1,protein_coding
RAB5B,protein_coding
MDM1,protein_coding
NUP107,protein_coding
CNOT2,protein_coding
TIMELESS,protein_coding
CPSF6,protein_coding
KRR1,protein_coding
MRPL51,protein_coding
GAPDH,protein_coding
CHD4,protein_coding
ACRBP,protein_coding
UHRF1BP1L,protein_coding
COPS7A,protein_coding
ING4,protein_coding
GNB3,protein_coding
CDCA3,protein_coding
CHPT1,protein_coding
USP5,protein_coding
TPI1,protein_coding
GNPTAB,protein_coding
SPSB2,protein_coding
ENO2,protein_coding
ATN1,protein_coding
C12orf57,protein_coding
PTPN6,protein_coding
LPCAT3,protein_coding
NT5DC3,protein_coding
SUDS3,protein_coding
GOLT1B,protein_coding
LDHB,protein_coding
PRKAB1,protein_coding
CMAS,protein_coding
HCFC2,protein_coding
ST8SIA1,protein_coding
C2CD5,protein_coding
RAB35,protein_coding
PHC1,protein_coding
COX6A1,protein_coding
RFX4,protein_coding
RIC8B,protein_coding
SRSF9,protein_coding
AC009533.1,unprocessed_pseudogene
FGFR1OP2,protein_coding
KLRB1,protein_coding
COL12A1,protein_coding
BTN3A3,protein_coding
TDP2,protein_coding
DSE,protein_coding
RWDD1,protein_coding
RSPH4A,protein_coding
MAK,protein_coding
TMEM14C,protein_coding
PAK1IP1,protein_coding
GCNT2,protein_coding
SMIM8,protein_coding
NEDD9,protein_coding
CEP85L,protein_coding
ASF1A,protein_coding
MCM9,protein_coding
FAM184A,protein_coding
RNGTT,protein_coding
MAN1A1,protein_coding
GABRR2,protein_coding
SERINC1,protein_coding
HDDC2,protein_coding
TPD52L1,protein_coding
HINT3,protein_coding
NCOA7,protein_coding
RIPOR2,protein_coding
SASH1,protein_coding
UST,protein_coding
ULBP1,protein_coding
FBXO5,protein_coding
MTRF1L,protein_coding
PPARD,protein_coding
FANCE,protein_coding
MAPK14,protein_coding
KCTD20,protein_coding
STK38,protein_coding
SRSF3,protein_coding
SOD2,protein_coding
MRPL18,protein_coding
MCM3,protein_coding
RNF8,protein_coding
PHACTR1,protein_coding
MDGA1,protein_coding
CILK1,protein_coding
FBXO9,protein_coding
CD83,protein_coding
MDN1,protein_coding
SAYSD1,protein_coding
BACH2,protein_coding
RBM24,protein_coding
CAP2,protein_coding
ZNF451,protein_coding
BAG2,protein_coding
RAB23,protein_coding
TSPO2,protein_coding
FHL5,protein_coding
GPR63,protein_coding
KHDRBS2,protein_coding
FBXL4,protein_coding
CCNC,protein_coding
E2F3,protein_coding
ASCC3,protein_coding
BVES,protein_coding
COL9A1,protein_coding
MED23,protein_coding
WASF1,protein_coding
GPLD1,protein_coding
ALDH5A1,protein_coding
CRYBG1,protein_coding
VNN1,protein_coding
VNN2,protein_coding
ACOT13,protein_coding
SMAP1,protein_coding
RPS12,protein_coding
C6orf62,protein_coding
B3GAT2,protein_coding
GMNN,protein_coding
EYA4,protein_coding
SOBP,protein_coding
NR2E1,protein_coding
SNX3,protein_coding
HBS1L,protein_coding
TRIM38,protein_coding
PEX7,protein_coding
ZBTB24,protein_coding
FIG4,protein_coding
PERP,protein_coding
ARFGEF3,protein_coding
SLC16A10,protein_coding
HECA,protein_coding
ADGRG6,protein_coding
PHACTR2,protein_coding
EPM2A,protein_coding
SLC39A7,protein_coding
PHF1,protein_coding
CUTA,protein_coding
PACRG,protein_coding
QKI,protein_coding
C6orf118,protein_coding
PDE10A,protein_coding
MDFI,protein_coding
TFEB,protein_coding
SMOC2,protein_coding
CCND3,protein_coding
BYSL,protein_coding
FAM120B,protein_coding
TBP,protein_coding
GUCA1B,protein_coding
PRPH2,protein_coding
BICRAL,protein_coding
PPP2R5D,protein_coding
MRPL2,protein_coding
PTK7,protein_coding
SRF,protein_coding
CUL9,protein_coding
DNPH1,protein_coding
DUSP22,protein_coding
EXOC2,protein_coding
COX7A2,protein_coding
TMEM30A,protein_coding
GMDS,protein_coding
SENP6,protein_coding
VEGFA,protein_coding
PRPF4B,protein_coding
TTK,protein_coding
SLC29A1,protein_coding
BTN2A1,protein_coding
LAMA4,protein_coding
TENT5A,protein_coding
FBRSL1,protein_coding
ENPP5,protein_coding
LY86,protein_coding
TBX18,protein_coding
ERBIN,protein_coding
PCDHB2,protein_coding
HARS2,protein_coding
NUDT12,protein_coding
CEP72,protein_coding
MAN2A1,protein_coding
SEMA5A,protein_coding
C7,protein_coding
TENT4A,protein_coding
GHR,protein_coding
HMGCS1,protein_coding
DAP,protein_coding
NME5,protein_coding
BRD8,protein_coding
KIF20A,protein_coding
NNT,protein_coding
MRPS30,protein_coding
HSPA9,protein_coding
MRPS27,protein_coding
PFDN1,protein_coding
HBEGF,protein_coding
LOX,protein_coding
APBB3,protein_coding
TMCO6,protein_coding
SPARC,protein_coding
IK,protein_coding
HMGCR,protein_coding
CERT1,protein_coding
FAF2,protein_coding
PCDHB3,protein_coding
PCDHB5,protein_coding
PCDHB6,protein_coding
PCDHB7,protein_coding
PDE8B,protein_coding
CLK4,protein_coding
PCDHB15,protein_coding
GRM6,protein_coding
ITK,protein_coding
RNF130,protein_coding
THG1L,protein_coding
ARSB,protein_coding
CLINT1,protein_coding
THBS4,protein_coding
CNOT6,protein_coding
TTC1,protein_coding
MSH3,protein_coding
RASGRF2,protein_coding
GABRG2,protein_coding
CCNG1,protein_coding
POLR3G,protein_coding
DROSHA,protein_coding
CDH6,protein_coding
LMNB1,protein_coding
ARRDC3,protein_coding
GOLPH3,protein_coding
SUB1,protein_coding
NPR3,protein_coding
FAM172A,protein_coding
SLC27A6,protein_coding
TARS1,protein_coding
LNPEP,protein_coding
PDE4D,protein_coding
RAD1,protein_coding
BRIX1,protein_coding
SLC12A7,protein_coding
RAD50,protein_coding
ST8SIA4,protein_coding
GNPDA1,protein_coding
PCDH12,protein_coding
SKP1,protein_coding
NUP155,protein_coding
PPP2CA,protein_coding
FGF1,protein_coding
NR3C1,protein_coding
C5orf15,protein_coding
PPWD1,protein_coding
LIFR,protein_coding
TRIM23,protein_coding
TRAPPC13,protein_coding
SEC24A,protein_coding
TXNDC15,protein_coding
TTC33,protein_coding
RARS1,protein_coding
WWC1,protein_coding
MACROH2A1,protein_coding
TCERG1,protein_coding
DPYSL3,protein_coding
SMAD5,protein_coding
CSNK1A1,protein_coding
HMGXB3,protein_coding
ERGIC1,protein_coding
PDGFRB,protein_coding
ATP6V0E1,protein_coding
BNIP1,protein_coding
STC2,protein_coding
CPEB4,protein_coding
HRH2,protein_coding
DBN1,protein_coding
ZNF346,protein_coding
UNC5A,protein_coding
EHHADH,protein_coding
CNTN3,protein_coding
SMC4,protein_coding
SELENOK,protein_coding
ACTR8,protein_coding
TBCCD1,protein_coding
TIMMDC1,protein_coding
CRBN,protein_coding
BCL6,protein_coding
HGD,protein_coding
ARL6,protein_coding
NPHP3,protein_coding
CD86,protein_coding
AMOTL2,protein_coding
NIT2,protein_coding
FAM162A,protein_coding
OGG1,protein_coding
KPNA1,protein_coding
PCCB,protein_coding
UBE3A,protein_coding
ARMC8,protein_coding
CEP70,protein_coding
RBP2,protein_coding
RBP1,protein_coding
SLC25A36,protein_coding
RNF7,protein_coding
TFDP2,protein_coding
XRN1,protein_coding
KAT2B,protein_coding
BCHE,protein_coding
SERPINI2,protein_coding
PDCD10,protein_coding
WNT5A,protein_coding
PFKFB4,protein_coding
COL7A1,protein_coding
FGF12,protein_coding
PRKAR2A,protein_coding
HES1,protein_coding
USP4,protein_coding
ACAP2,protein_coding
ECT2,protein_coding
GNAI2,protein_coding
TFG,protein_coding
USP9Y,protein_coding
HYAL1,protein_coding
TUSC2,protein_coding
NPRL2,protein_coding
RPL24,protein_coding
CYB561D2,protein_coding
C3orf14,protein_coding
FXR1,protein_coding
CBLB,protein_coding
BBX,protein_coding
IFT57,protein_coding
GNB4,protein_coding
IQCG,protein_coding
GBE1,protein_coding
UMPS,protein_coding
NCBP2,protein_coding
SNX4,protein_coding
FRMD4B,protein_coding
SLC41A3,protein_coding
ROPN1B,protein_coding
PLXNA1,protein_coding
ATP6V1A,protein_coding
ABTB1,protein_coding
PODXL2,protein_coding
CSPG5,protein_coding
KLHL18,protein_coding
SCAP,protein_coding
EFCC1,protein_coding
CFAP92,protein_coding
NEK11,protein_coding
MRPL3,protein_coding
PLSCR4,protein_coding
HEMK1,protein_coding
CISH,protein_coding
MAPKAPK3,protein_coding
ACVR2B,protein_coding
WDR48,protein_coding
COMMD2,protein_coding
GORASP1,protein_coding
PEX5L,protein_coding
RRP9,protein_coding
ABCC5,protein_coding
ABHD14B,protein_coding
EIF1B,protein_coding
ARHGEF26,protein_coding
KLHL24,protein_coding
PLCH1,protein_coding
VIPR1,protein_coding
DNAH1,protein_coding
SSR3,protein_coding
ZBTB47,protein_coding
NKTR,protein_coding
CLCN2,protein_coding
FOXP1,protein_coding
EIF4G1,protein_coding
SPCS1,protein_coding
NEK4,protein_coding
SLC4A3,protein_coding
INO80D,protein_coding
EEF1B2,protein_coding
ADAM23,protein_coding
DGUOK,protein_coding
MOB1A,protein_coding
KANSL3,protein_coding
LMAN2L,protein_coding
RTKN,protein_coding
TTL,protein_coding
IL1A,protein_coding
CCL20,protein_coding
PIKFYVE,protein_coding
KCNIP3,protein_coding
FAHD2A,protein_coding
NCL,protein_coding
ACTR1B,protein_coding
SLC35F5,protein_coding
ZAP70,protein_coding
ACTR3,protein_coding
STEAP3,protein_coding
EPB41L5,protein_coding
TFCP2L1,protein_coding
SF3B6,protein_coding
TP53I3,protein_coding
DNAJC27,protein_coding
POMC,protein_coding
STAM2,protein_coding
GPD2,protein_coding
CENPA,protein_coding
CYTIP,protein_coding
ACVR1,protein_coding
TANC1,protein_coding
SLC30A3,protein_coding
MPV17,protein_coding
GTF3C2,protein_coding
EIF2B4,protein_coding
NRBP1,protein_coding
FNDC4,protein_coding
ITGA4,protein_coding
PSMD14,protein_coding
SNX17,protein_coding
ASB3,protein_coding
PPM1G,protein_coding
PDE1A,protein_coding
REEP6,protein_coding
PCSK4,protein_coding
APC2,protein_coding
IFIH1,protein_coding
RPS15,protein_coding
GCA,protein_coding
INO80B,protein_coding
MOGS,protein_coding
TTC31,protein_coding
NDUFS7,protein_coding
PCGF1,protein_coding
GRB14,protein_coding
CLIP4,protein_coding
SPTBN1,protein_coding
AUP1,protein_coding
RTN4,protein_coding
HTRA2,protein_coding
LOXL3,protein_coding
DOK1,protein_coding
GALNT3,protein_coding
POLE4,protein_coding
TACR1,protein_coding
CCDC88A,protein_coding
ACADL,protein_coding
EVA1A,protein_coding
MRPL19,protein_coding
LANCL1,protein_coding
WDR75,protein_coding
EFEMP1,protein_coding
FANCL,protein_coding
FN1,protein_coding
STAT1,protein_coding
GLS,protein_coding
PAPOLG,protein_coding
DNAH6,protein_coding
PECR,protein_coding
UNC50,protein_coding
IGFBP2,protein_coding
ELMOD3,protein_coding
IGFBP5,protein_coding
USP34,protein_coding
EFHD1,protein_coding
KCNJ13,protein_coding
CCT4,protein_coding
GGCX,protein_coding
EHBP1,protein_coding
OTX1,protein_coding
TXNDC9,protein_coding
COQ10B,protein_coding
GNLY,protein_coding
SF3B1,protein_coding
ST3GAL5,protein_coding
CHST10,protein_coding
PDCL3,protein_coding
MOB4,protein_coding
HSPE1,protein_coding
KDM3A,protein_coding
PLCD4,protein_coding
CHMP3,protein_coding
ZNF142,protein_coding
IL1R2,protein_coding
IL1R1,protein_coding
WNT6,protein_coding
IL1RL1,protein_coding
IL18R1,protein_coding
FHL2,protein_coding
CNPPD1,protein_coding
UXS1,protein_coding
ABCB6,protein_coding
STK16,protein_coding
HDLBP,protein_coding
PPP1R7,protein_coding
PASK,protein_coding
STK25,protein_coding
PROC,protein_coding
ID2,protein_coding
TAF1B,protein_coding
HPCAL1,protein_coding
ODC1,protein_coding
BIRC6,protein_coding
NOL10,protein_coding
PLEKHB2,protein_coding
GORASP2,protein_coding
STRN,protein_coding
CEBPZ,protein_coding
PRKD3,protein_coding
DCAF17,protein_coding
QPCT,protein_coding
RAB3GAP1,protein_coding
SLC25A12,protein_coding
RMDN2,protein_coding
DLX2,protein_coding
DARS1,protein_coding
SRSF7,protein_coding
SDC1,protein_coding
PLCL1,protein_coding
SLC1A4,protein_coding
SOS1,protein_coding
KYNU,protein_coding
WIPF1,protein_coding
ORC2,protein_coding
COX7A2L,protein_coding
PNO1,protein_coding
ORC4,protein_coding
PLEK,protein_coding
RND3,protein_coding
ATF2,protein_coding
THADA,protein_coding
AAK1,protein_coding
TRAK2,protein_coding
C2orf42,protein_coding
TIA1,protein_coding
PCYOX1,protein_coding
KISS1R,protein_coding
EPAS1,protein_coding
ARID3A,protein_coding
SUMO1,protein_coding
CD207,protein_coding
VAX2,protein_coding
NFE2L2,protein_coding
MSH6,protein_coding
PLEKHA3,protein_coding
SPR,protein_coding
EPHA4,protein_coding
PARD3B,protein_coding
FARSB,protein_coding
ALMS1,protein_coding
BCL9,protein_coding
PRRX1,protein_coding
DHCR24,protein_coding
DNAJC16,protein_coding
MARK1,protein_coding
TNR,protein_coding
MORN1,protein_coding
GPX7,protein_coding
CACYBP,protein_coding
SCP2,protein_coding
PAPPA2,protein_coding
RALGPS2,protein_coding
ANGPTL1,protein_coding
CEP104,protein_coding
FAM20B,protein_coding
TCEANC2,protein_coding
TMEM59,protein_coding
LRRC42,protein_coding
WRAP73,protein_coding
MRPL37,protein_coding
ICMT,protein_coding
RPL22,protein_coding
CHD5,protein_coding
QSOX1,protein_coding
STXBP3,protein_coding
PHF13,protein_coding
ERRFI1,protein_coding
PARK7,protein_coding
ELAPOR1,protein_coding
OPRD1,protein_coding
AMPD2,protein_coding
SRSF4,protein_coding
MECR,protein_coding
KCNC4,protein_coding
EDEM3,protein_coding
WDR77,protein_coding
ATP5PB,protein_coding
RAP1A,protein_coding
HDAC1,protein_coding
CAPZA1,protein_coding
S100PBP,protein_coding
RNF19B,protein_coding
SCAMP3,protein_coding
TRIM62,protein_coding
ASH1L,protein_coding
DLGAP3,protein_coding
SFPQ,protein_coding
RHOU,protein_coding
GON4L,protein_coding
ARHGEF2,protein_coding
LAMTOR2,protein_coding
MEF2D,protein_coding
DOCK7,protein_coding
SRM,protein_coding
DLEU2L,lncRNA
FBXO2,protein_coding
FBXO6,protein_coding
C1orf21,protein_coding
SWT1,protein_coding
MAD2L2,protein_coding
DNAJC6,protein_coding
LEPR,protein_coding
IVNS1ABP,protein_coding
KIAA2013,protein_coding
MFN2,protein_coding
MIIP,protein_coding
SMG7,protein_coding
NCF2,protein_coding
PDC,protein_coding
SLC35D1,protein_coding
PLA2G4A,protein_coding
GADD45A,protein_coding
WLS,protein_coding
PRDM2,protein_coding
RGS2,protein_coding
RPE65,protein_coding
RO60,protein_coding
UCHL5,protein_coding
BCAS2,protein_coding
SRSF11,protein_coding
CTH,protein_coding
AGMAT,protein_coding
OLFML3,protein_coding
PLEKHM2,protein_coding
CRYZ,protein_coding
PHTF1,protein_coding
ZBTB17,protein_coding
CD58,protein_coding
TFAP2E,protein_coding
CD2,protein_coding
TTF2,protein_coding
NR5A2,protein_coding
KIF21B,protein_coding
TMEM9,protein_coding
ADPRS,protein_coding
MAP7D1,protein_coding
WARS2,protein_coding
OSCP1,protein_coding
MRPS15,protein_coding
EXOC8,protein_coding
GNPAT,protein_coding
TSNAX,protein_coding
C1orf109,protein_coding
RRAGC,protein_coding
NID1,protein_coding
LGALS8,protein_coding
NT5C1A,protein_coding
HPCAL4,protein_coding
MTR,protein_coding
BMP8B,protein_coding
MYCL,protein_coding
SIPA1L2,protein_coding
RLF,protein_coding
KMO,protein_coding
ZNF684,protein_coding
KCNQ4,protein_coding
RIMS3,protein_coding
AKT3,protein_coding
ETV3,protein_coding
ACADM,protein_coding
ST6GALNAC5,protein_coding
CD48,protein_coding
ADGRL2,protein_coding
PADI2,protein_coding
SDHB,protein_coding
MFAP2,protein_coding
RPF1,protein_coding
KDM5B,protein_coding
UAP1,protein_coding
CTBS,protein_coding
RGS4,protein_coding
KLHL12,protein_coding
IGSF21,protein_coding
SSX2IP,protein_coding
ZNHIT6,protein_coding
RBBP5,protein_coding
GBP3,protein_coding
GBP1,protein_coding
PINK1-AS,lncRNA
KIF17,protein_coding
GPR89A,protein_coding
CDK18,protein_coding
RAB29,protein_coding
CD160,protein_coding
ECE1,protein_coding
HMGCL,protein_coding
GALE,protein_coding
ID3,protein_coding
CD46,protein_coding
PRPF3,protein_coding
APH1A,protein_coding
P3H1,protein_coding
SLC2A1,protein_coding
EBNA1BP2,protein_coding
CDC20,protein_coding
ARTN,protein_coding
IPO13,protein_coding
ATP6V0B,protein_coding
B4GALT2,protein_coding
ERI3,protein_coding
PTCH2,protein_coding
AKR1A1,protein_coding
PRDX1,protein_coding
PIK3R3,protein_coding
TSPAN1,protein_coding
BLZF1,protein_coding
CCDC181,protein_coding
SLC19A2,protein_coding
FAAH,protein_coding
NSUN4,protein_coding
TMED5,protein_coding
DR1,protein_coding
CNN3,protein_coding
PRRC2C,protein_coding
F3,protein_coding
ABCD3,protein_coding
VAMP4,protein_coding
DPH5,protein_coding
PTBP2,protein_coding
TNFSF4,protein_coding
PRDX6,protein_coding
DARS2,protein_coding
HSD11B1,protein_coding
IRF6,protein_coding
UTP25,protein_coding
PLPPR5,protein_coding
PLPPR4,protein_coding
RCAN3,protein_coding
SYF2,protein_coding
RSRP1,protein_coding
SLC35A3,protein_coding
RCOR3,protein_coding
STMN1,protein_coding
MTFR1L,protein_coding
MAN1C1,protein_coding
NEK2,protein_coding
RPS6KA1,protein_coding
DHDDS,protein_coding
NENF,protein_coding
NSL1,protein_coding
PROX1,protein_coding
ARID1A,protein_coding
CENPF,protein_coding
RPA2,protein_coding
PPP1R8,protein_coding
STX12,protein_coding
MTARC2,protein_coding
SLC5A9,protein_coding
OSBPL9,protein_coding
TXNDC12,protein_coding
ESYT2,protein_coding
POLR1G,protein_coding
MESD,protein_coding
RCN2,protein_coding
CTSD,protein_coding
COLEC11,protein_coding
STAG1,protein_coding
STK11,protein_coding
KMT2A,protein_coding
TREH,protein_coding
IFT46,protein_coding
SLC8A2,protein_coding
KPTN,protein_coding
RPS25,protein_coding
KIF14,protein_coding
DDX59,protein_coding
CAMSAP2,protein_coding
ATF6,protein_coding
CRYGD,protein_coding
MREG,protein_coding
FASTKD2,protein_coding
NRP2,protein_coding
CREB1,protein_coding
KLF7,protein_coding
B4GALT6,protein_coding
C1orf54,protein_coding
CA14,protein_coding
CFAP94,protein_coding
IRAG2,protein_coding
ATP10B,protein_coding
SPCS2,protein_coding
USP35,protein_coding
ELOVL4,protein_coding
FILIP1,protein_coding
CASP8AP2,protein_coding
HMGN3,protein_coding
UBE3D,protein_coding
CNR1,protein_coding
ANKRD13C,protein_coding
SGIP1,protein_coding
PHF3,protein_coding
PLAGL1,protein_coding
FBXO30,protein_coding
TNFAIP3,protein_coding
AKAP7,protein_coding
RAB32,protein_coding
MYB,protein_coding
ALDH8A1,protein_coding
SGK1,protein_coding
RNF146,protein_coding
ARG1,protein_coding
CCN2,protein_coding
PMFBP1,protein_coding
FBXL5,protein_coding
MED28,protein_coding
SLC16A7,protein_coding
RXYLT1,protein_coding
ZNF430,protein_coding
VAMP8,protein_coding
DCLRE1B,protein_coding
MYL12B,protein_coding
FOXO3,protein_coding
ARMC2,protein_coding
RPN2,protein_coding
TGIF2,protein_coding
CASQ2,protein_coding
OLFM3,protein_coding
PKD2,protein_coding
ABCG2,protein_coding
SPP1,protein_coding
STBD1,protein_coding
CCNI,protein_coding
RARRES1,protein_coding
MFSD1,protein_coding
RAB3GAP2,protein_coding
EEF2KMT,protein_coding
PPL,protein_coding
UBN1,protein_coding
KLF12,protein_coding
UCHL3,protein_coding
PCDH17,protein_coding
HS1BP3,protein_coding
LDAH,protein_coding
WDR35,protein_coding
CCND2,protein_coding
OTUD4P1,processed_pseudogene
ELL2,protein_coding
DNAH7,protein_coding
CYP20A1,protein_coding
NDUFB3,protein_coding
GTF3C3,protein_coding
SATB2,protein_coding
UBE2B,protein_coding
GDA,protein_coding
KLF9,protein_coding
ECRG4,protein_coding
ITGB1BP1,protein_coding
CPSF3,protein_coding
PIGZ,protein_coding
SENP5,protein_coding
CCDC92,protein_coding
C1orf198,protein_coding
TRIM67,protein_coding
HEATR1,protein_coding
PTBP3,protein_coding
RAD23B,protein_coding
FKBP15,protein_coding
CTNNAL1,protein_coding
ABITRAM,protein_coding
DYNC2I2,protein_coding
SET,protein_coding
PTPA,protein_coding
GLE1,protein_coding
RAB14,protein_coding
CNTRL,protein_coding
TRIM32,protein_coding
FBXW2,protein_coding
PHF19,protein_coding
NEK6,protein_coding
BSPRY,protein_coding
PPP6C,protein_coding
NDUFA8,protein_coding
HDHD3,protein_coding
RBM18,protein_coding
HSDL2,protein_coding
MAPKAP1,protein_coding
NR4A3,protein_coding
INVS,protein_coding
GALNT12,protein_coding
DENND1A,protein_coding
ALG2,protein_coding
CSF3R,protein_coding
KDSR,protein_coding
VPS4B,protein_coding
ONECUT2,protein_coding
C19orf25,protein_coding
ZBTB45,protein_coding
YLPM1,protein_coding
DCAF4,protein_coding
PROX2,protein_coding
FCF1,protein_coding
PGF,protein_coding
IFI27L2,protein_coding
BBOF1,protein_coding
NEK9,protein_coding
ACYP1,protein_coding
IFT43,protein_coding
NPC2,protein_coding
DNAL1,protein_coding
IRF2BPL,protein_coding
ACOT2,protein_coding
LTBP2,protein_coding
AREL1,protein_coding
MLH3,protein_coding
TTLL5,protein_coding
FLVCR2,protein_coding
ABCD4,protein_coding
DLST,protein_coding
PPP4R4,protein_coding
TGFB3,protein_coding
ZC2HC1C,protein_coding
SLIRP,protein_coding
RBM25,protein_coding
ALDH6A1,protein_coding
GPR68,protein_coding
EIF2B2,protein_coding
NRDE2,protein_coding
COQ6,protein_coding
ZNF410,protein_coding
RHOQ,protein_coding
GPR75,protein_coding
SUPT7L,protein_coding
KLHL29,protein_coding
DNMT3A,protein_coding
TMEM214,protein_coding
ATAD2B,protein_coding
FKBP1B,protein_coding
ATL2,protein_coding
YPEL5,protein_coding
FAM98A,protein_coding
YIPF4,protein_coding
AFTPH,protein_coding
LGALSL,protein_coding
CNRIP1,protein_coding
BCL11A,protein_coding
CRIPT,protein_coding
SLC17A5,protein_coding
OGFRL1,protein_coding
SLF2,protein_coding
IDE,protein_coding
IFIT3,protein_coding
IFIT2,protein_coding
GPAM,protein_coding
CUTC,protein_coding
PPP1R3C,protein_coding
PYROXD2,protein_coding
CNNM1,protein_coding
MXI1,protein_coding
SMNDC1,protein_coding
C10orf88,protein_coding
HELLS,protein_coding
TCTN3,protein_coding
DENND10,protein_coding
AVPI1,protein_coding
WDR11,protein_coding
ARMH3,protein_coding
KCNIP2,protein_coding
GOT1,protein_coding
SFRP5,protein_coding
GNA13,protein_coding
KANSL1,protein_coding
HOXB3,protein_coding
DUSP1,protein_coding
PANK3,protein_coding
MSX2,protein_coding
TEK,protein_coding
RCL1,protein_coding
CAAP1,protein_coding
MOB3B,protein_coding
MLANA,protein_coding
CD274,protein_coding
